Car Name,KM Driven,Fuel Type,Transmission,Ownership,Price,Location
2018 Honda WR-V 1.5L I-DTEC VX MT,93.92k km,Diesel,Manual,2nd owner,5.50L,Arera Colony Bhopal
2016 Maruti S Cross ALPHA 1.3,1.3L km,Diesel,Manual,1st owner,4.27 lakh,Minal Residency Bhopal Madhya Pradesh
2019 Tata Harrier XZ 2.0L,68.20k km,Diesel,Manual,2nd owner,10.00 lakh,Arera Colony Bhopal Madhya Pradesh
2017 Toyota Innova Crysta,1.4L km,Diesel,Manual,3rd owner,10.50 lakh,Kolar Rd Bhopal Madhya Pradesh
2015 Maruti Swift Dzire VXI,1.1L km,Petrol,Manual,2nd owner,3.50 lakh,P.O Bhopal Madhya Pradesh
2022 Mahindra XUV300 W8 (O) 1.2 PETROL,26.11k km,Petrol,Manual,1st owner,9.60 lakh,Gandhi Nagar Bhopal Madhya Pradesh
2015 Hyundai Grand i10,48.67k km,Petrol,Manual,2nd owner,3.33 lakh,Lalghati Bhopal Madhya Pradesh
2017 BMW X1 sDrive 20d x Line,97.10k km,Diesel,Auto,2nd owner,15.50 lakh,Lalghati Bhopal
2013 Audi A4 2.0 TDI 174BHP,84.30k km,Diesel,Auto,2nd owner,8.00 lakh,Shahpura Bhopal Madhya Pradesh
2017 Tata Hexa XTA 4X2 7 STR,71.26k km,Diesel,Auto,1st owner,8.76 lakh,"C22,Narayan Nagar, Bhopal"
2021 MG HECTOR SHARP 2.0 DIESEL,1.1L km,Diesel,Manual,1st owner,13.75 lakh,Gulmohar Colony Bhopal Madhya Pradesh
2017 Honda Brio S MT,58.12k km,Petrol,Manual,1st owner,3.81 lakh,"C22,Narayan Nagar, Bhopal"
2016 Maruti Baleno DELTA PETROL 1.2,64.33k km,Petrol,Manual,1st owner,4.20 lakh,"Hoshangabad Road, Bhopal"
2015 Ford Ecosport TREND 1.5L DIESEL,72.21k km,Diesel,Manual,1st owner,4.30 lakh,"Peoples Mall Near by Karond by Bass, Bhopal"
2023 Tata NEXON XM PLUS SUNROOF PETROL,64.69k km,Petrol,Manual,1st owner,9.32 lakh,"Hoshangabad Road, Bhopal"
2011 Mahindra Scorpio VLX 2WD,1.8L km,Diesel,Manual,2nd owner,3.58 lakh,Shankracharya Nagar Bhopal
2021 Mahindra XUV500 W9,27.21k km,Diesel,Manual,1st owner,14.38 lakh,Habib Ganj Bhopal Madhya Pradesh
2015 Mahindra XUV500 W10,89.00k km,Diesel,Manual,1st owner,7.25 lakh,"Arera Hills, Bhopal"
2019 Honda City 1.5L I-VTEC ZX CVT,57.11k km,Petrol,Auto,1st owner,7.88 lakh,Bagmugaliya Bhopal Madhya Pradesh
2021 Maruti Dzire ZXI,79.25k km,Petrol,Manual,2nd owner,6.09 lakh,Barkhera Pathani Bhopal Madhya Pradesh
2017 Maruti Dzire VDI,64.42k km,Diesel,Manual,1st owner,6.42L,"Hoshangabad Road, Bhopal"
2019 Toyota Innova Crysta,1.4L km,Diesel,Manual,1st owner,18.24 lakh,Bagmugaliya Bhopal Madhya Pradesh
2017 Maruti Swift Dzire ZXI,70.08k km,Petrol,Manual,3rd owner,3.90 lakh,Patel Nagar Bhopal Madhya Pradesh
2019 Jeep Compass LIMITED PLUS DIESEL,59.10k km,Diesel,Manual,2nd owner,9.00 lakh,Sirali harda MP Sirali
2015 Honda Jazz 1.2L I-VTEC E,62.51k km,Petrol,Manual,2nd owner,3.01 lakh,"Arera Hills, Bhopal"
2019 Mahindra Scorpio S11 2WD,87.65k km,Diesel,Manual,2nd owner,13.13 lakh,Kohefiza Bhopal MP
